【用户关注】,1664349448996,2022-09-28 15:17:28,甜蜜蜜20162016
【实时弹幕】,1664349458813,2022-09-28 15:17:38,jd_oWiURGazyagm,领券享专属优惠
【实时弹幕】,1664349464012,2022-09-28 15:17:44,燕捕头,领券享专属优惠
【主播推送商品】,1664349480513,2022-09-28 15:18:00,主播,43号
【主播推送商品】,1664349480550,2022-09-28 15:18:00,主播,43号
【用户正在购买】,1664349481897,2022-09-28 15:18:01,jd_pajIGBxiZNgh,43号
【主播正在讲解】,1664349495728,2022-09-28 15:18:15,主播,43号
【主播弹幕】,1664349495744,2022-09-28 15:18:15,主播,正在讲解43号宝贝
【主播开始讲解】,1664349495832,2022-09-28 15:18:15,主播,43
【用户正在购买】,1664349501611,2022-09-28 15:18:21,mgxds,26号
【用户正在购买】,1664349549317,2022-09-28 15:19:09,珊珊baby哟,144号
【用户正在购买】,1664349568218,2022-09-28 15:19:28,jd_qQJpBgvYlgFI,115号
【用户正在购买】,1664349576154,2022-09-28 15:19:36,地狱的教徒,142号
【用户正在购买】,1664349586190,2022-09-28 15:19:46,珊珊baby哟,78号
【实时弹幕】,1664349606495,2022-09-28 15:20:06,地狱的教徒,领券享专属优惠
【用户关注】,1664349606570,2022-09-28 15:20:06,地狱的教徒
【用户正在购买】,1664349606974,2022-09-28 15:20:06,jd_138059tgg,105号
【实时弹幕】,1664349610817,2022-09-28 15:20:10,梓馨zhaoj,直播间有优惠吗
【主播结束讲解】,1664349619500,2022-09-28 15:20:19,主播,43
【用户正在购买】,1664349619732,2022-09-28 15:20:19,珊珊baby哟,3号
【实时弹幕】,1664349622320,2022-09-28 15:20:22,梓馨zhaoj,领券享专属优惠
【用户关注】,1664349622391,2022-09-28 15:20:22,梓馨zhaoj
【主播推送商品】,1664349631809,2022-09-28 15:20:31,主播,3号
【主播推送商品】,1664349631976,2022-09-28 15:20:31,主播,3号
【用户正在购买】,1664349633077,2022-09-28 15:20:33,jd_pajIGBxiZNgh,03号
【用户正在购买】,1664349641854,2022-09-28 15:20:41,jd_yVOTrFneZGPR,85号
【主播正在讲解】,1664349647083,2022-09-28 15:20:47,主播,3号
【主播弹幕】,1664349647093,2022-09-28 15:20:47,主播,正在讲解3号宝贝
【主播开始讲解】,1664349647129,2022-09-28 15:20:47,主播,3
【用户加入购物车】,1664349652392,2022-09-28 15:20:52,jd_pkFTmgAovAOA,121号
【实时弹幕】,1664349659537,2022-09-28 15:20:59,梓馨zhaoj,519的露营车
【实时弹幕】,1664349683071,2022-09-28 15:21:23,梓馨zhaoj,露营车   配遮阳和小桌板  直播间有优惠吗
【主播结束讲解】,1664349710516,2022-09-28 15:21:50,主播,3
【实时弹幕】,1664349739378,2022-09-28 15:22:19,jd_RxYCrJNBCAgJ,领券享专属优惠
【用户正在购买】,1664349741911,2022-09-28 15:22:21,jd_amXaJnFEOoaU,85号
【用户正在购买】,1664349745736,2022-09-28 15:22:25,梓馨zhaoj,66号
【实时弹幕】,1664349762404,2022-09-28 15:22:42,jd_pkFTmgAovAOA,露营车有优惠吗
【用户正在购买】,1664349766990,2022-09-28 15:22:46,jd_qQJpBgvYlgFI,115号
【主播推送商品】,1664349782234,2022-09-28 15:23:02,主播,128号
【主播推送商品】,1664349782346,2022-09-28 15:23:02,主播,128号
【实时弹幕】,1664349786833,2022-09-28 15:23:06,jd_pkFTmgAovAOA,500多
【主播推送商品】,1664349790258,2022-09-28 15:23:10,主播,121号
【主播推送商品】,1664349790439,2022-09-28 15:23:10,主播,121号
【主播推送商品】,1664349794247,2022-09-28 15:23:14,主播,66号
【主播推送商品】,1664349794387,2022-09-28 15:23:14,主播,66号
【用户正在购买】,1664349795398,2022-09-28 15:23:15,风承叶子心,142号
【用户正在购买】,1664349799934,2022-09-28 15:23:19,jd_136253scn,66号
【主播推送商品】,1664349807629,2022-09-28 15:23:27,主播,121号
【主播推送商品】,1664349807788,2022-09-28 15:23:27,主播,121号
【用户正在购买】,1664349809767,2022-09-28 15:23:29,jd_pajIGBxiZNgh,121号
【用户正在购买】,1664349814119,2022-09-28 15:23:34,jd_65483aae3a4c7,115号
【主播推送商品】,1664349817553,2022-09-28 15:23:37,主播,66号
【主播推送商品】,1664349817959,2022-09-28 15:23:37,主播,66号
【主播推送商品】,1664349818155,2022-09-28 15:23:38,主播,66号
【用户正在购买】,1664349819012,2022-09-28 15:23:39,jd_pajIGBxiZNgh,66号
【实时弹幕】,1664349819150,2022-09-28 15:23:39,jd_pkFTmgAovAOA,两款区别
【主播推送商品】,1664349836602,2022-09-28 15:23:56,主播,66号
【主播推送商品】,1664349836781,2022-09-28 15:23:56,主播,66号
【用户正在购买】,1664349837721,2022-09-28 15:23:57,jd_pajIGBxiZNgh,66号
【实时弹幕】,1664349839268,2022-09-28 15:23:59,mgxds,领券享专属优惠
【用户关注】,1664349839393,2022-09-28 15:23:59,mgxds
【用户正在购买】,1664349848105,2022-09-28 15:24:08,jd_pkFTmgAovAOA,66号
【用户正在购买】,1664349884935,2022-09-28 15:24:44,jd_151667kus,12号
【用户正在购买】,1664349894460,2022-09-28 15:24:54,jd_151667kus,12号
【实时弹幕】,1664349907212,2022-09-28 15:25:07,jd_137265mpk,领券享专属优惠
【主播推送商品】,1664349927725,2022-09-28 15:25:27,主播,66号
【主播推送商品】,1664349973988,2022-09-28 15:26:13,主播,42号
【主播推送商品】,1664349974161,2022-09-28 15:26:14,主播,42号
【用户正在购买】,1664349974942,2022-09-28 15:26:14,jd_pajIGBxiZNgh,42号
【用户正在购买】,1664349977597,2022-09-28 15:26:17,wo小学没毕业,42号
